Percentage served,django,dotnet,golang,nodejs,PHP,Lumen,Lumen(apacche),PHP(self serve)
71,14.127,12.927,8.488,13.219,9.994,170.622,76.131,12.715
72,14.168,12.992,8.533,13.248,10.016,173.148,77.688,12.743
73,14.213,13.067,8.581,13.273,10.039,175.636,79.486,12.771
74,14.258,13.137,8.629,13.305,10.064,178.158,81.638,12.803
75,14.304,13.211,8.682,13.33,10.089,180.233,84.588,12.831
76,14.349,13.294,8.74,13.356,10.115,182.766,87.897,12.867
77,14.396,13.395,8.798,13.386,10.141,186.428,92.711,12.909
78,14.447,13.515,8.863,13.427,10.17,191.268,98.708,12.948
79,14.496,13.644,8.931,13.474,10.2,196.07,106.691,12.986
80,14.547,13.799,9.003,13.519,10.236,199.902,117.127,13.027
81,14.605,13.947,9.077,13.57,10.272,201.83,132.581,13.078
82,14.66,14.092,9.167,13.635,10.308,203.324,146.06,13.127
83,14.722,14.226,9.257,13.767,10.347,204.842,160.585,13.188
84,14.788,14.386,9.356,13.876,10.39,206.742,173.568,13.248
85,14.858,14.613,9.467,13.982,10.432,208.538,186.647,13.321
86,14.93,14.824,9.591,14.096,10.489,210.771,198.163,13.386
87,15.009,15.089,9.728,14.225,10.551,213.183,210.847,13.463
88,15.091,15.353,9.884,14.429,10.625,215.841,223.157,13.543
89,15.18,15.616,10.055,14.784,10.704,218.246,233.582,13.651
90,15.284,15.957,10.268,15.232,10.796,220.644,244.015,13.754
91,15.395,16.42,10.476,15.601,10.881,224.316,254.962,13.842
92,15.515,17.014,10.735,16.076,10.995,228.579,264.588,13.931
93,15.663,17.602,11.025,16.525,11.192,233.054,276.774,14.025
94,15.844,18.333,11.346,17.703,11.46,238.207,289.839,14.145
95,16.095,19.28,11.679,18.123,11.726,243.145,301.542,14.286
96,16.432,20.16,12.152,20.297,11.964,249.431,314.795,14.512
97,17.118,21.26,12.701,21.189,12.343,258.538,330.677,14.782
98,1024.634,22.821,13.732,23.056,12.857,273.49,355.995,14.996
99,1036.05,24.367,15.728,25.167,13.72,301.253,393.004,15.452
100,27623.033,39.792,27.168,54.984,36.465,382.966,1339.898,17.641
